SKU,Vendor,Warehouse,Snapshot_Date,Current_Inventory,Reserved_Qty,Backorder_Qty,Marketplace,Brand,Product_Name,Category,Style_ID,Article_Type,Gender,Size,Colour,MRP_INR,Selling_Price_INR,Inventory_Value_INR,Stock_Cover_Target_Days,Lifecycle_Stage,Availability_Status,Launch_Date,End_Of_Life_Date,Marketplace_Seller,Myntra_Product_URL,Price_Captured_On,Catalogue_Data_Provenance,Commercial_Data_Provenance
MYN-3314131-M,GARG ACRYLICS LTD.,BLR_FC,2026-08-01,143,102,49,Myntra,Roadster,Roadster Men Black Solid Round Neck T-shirt,Men Western Wear,3314131,T-shirts,Men,M,Black,299,239,17732,3.5,Growth,Active,2025-01-01,,GARG ACRYLICS LTD.,https://www.myntra.com/tshirts/roadster/roadster-men-black-solid-round-neck-t-shirt/3314131/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
MYN-3314131-M,GARG ACRYLICS LTD.,DEL_FC,2026-08-01,363,73,0,Myntra,Roadster,Roadster Men Black Solid Round Neck T-shirt,Men Western Wear,3314131,T-shirts,Men,M,Black,299,239,45012,10,Core,Active,2025-01-01,,GARG ACRYLICS LTD.,https://www.myntra.com/tshirts/roadster/roadster-men-black-solid-round-neck-t-shirt/3314131/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
MYN-7139482-32,AR FASHION STUDIO,MUM_FC,2026-08-01,168,42,0,Myntra,Roadster,Roadster Men Black Slim Fit Mid-Rise Clean Look Stretchable Jeans,Men Western Wear,7139482,Jeans,Men,32,Black,1699,729,63672,8,Core,Active,2025-01-01,,AR FASHION STUDIO,https://www.myntra.com/jeans/roadster/roadster-men-black-slim-fit-mid-rise-clean-look-stretchable-jeans/7139482/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
MYN-7139482-34,AR FASHION STUDIO,BLR_FC,2026-08-01,791,16,0,Myntra,Roadster,Roadster Men Black Slim Fit Mid-Rise Clean Look Stretchable Jeans,Men Western Wear,7139482,Jeans,Men,34,Black,1699,729,299789,58,Markdown,Active,2025-01-01,,AR FASHION STUDIO,https://www.myntra.com/jeans/roadster/roadster-men-black-slim-fit-mid-rise-clean-look-stretchable-jeans/7139482/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
MYN-21422548-L,Truenet Commerce,KOL_FC,2026-08-01,197,36,0,Myntra,Roadster,Roadster Men T-shirt,Men Western Wear,21422548,T-shirts,Men,L,As listed,399,191,19503,11,Launch,Active,2026-07-05,,Truenet Commerce,https://www.myntra.com/tshirts/roadster/roadster-men-t-shirt/21422548/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
MYN-20721342-M,M/S IBA CRAFTS PRIVATE LIMITED,MUM_FC,2026-08-01,65,43,12,Myntra,DressBerry,DressBerry Pink Floral Midi Dress,Women Western Wear,20721342,Dresses,Women,M,Pink,3099,1116,37700,4.5,Core,Active,2025-01-01,,M/S IBA CRAFTS PRIVATE LIMITED,https://www.myntra.com/dresses/dressberry/dressberry-pink-floral-midi-dress/20721342/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
MYN-20721342-M,M/S IBA CRAFTS PRIVATE LIMITED,BLR_FC,2026-08-01,226,35,0,Myntra,DressBerry,DressBerry Pink Floral Midi Dress,Women Western Wear,20721342,Dresses,Women,M,Pink,3099,1116,131080,16,Core,Active,2025-01-01,,M/S IBA CRAFTS PRIVATE LIMITED,https://www.myntra.com/dresses/dressberry/dressberry-pink-floral-midi-dress/20721342/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
MYN-32016912-S,Vision Star,KOL_FC,2026-08-01,235,82,0,Myntra,DressBerry,DressBerry Square Neck Top,Women Western Wear,32016912,Tops,Women,S,As listed,699,286,35015,8,Core,Active,2025-01-01,,Vision Star,https://www.myntra.com/tops/dressberry/dressberry-square-neck-top/32016912/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
MYN-32016912-M,Vision Star,DEL_FC,2026-08-01,784,56,0,Myntra,DressBerry,DressBerry Square Neck Top,Women Western Wear,32016912,Tops,Women,M,As listed,699,286,116816,31,Core,Paused,2025-01-01,,Vision Star,https://www.myntra.com/tops/dressberry/dressberry-square-neck-top/32016912/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
MYN-39808527-L,WHITE IMPACT,BLR_FC,2026-08-01,185,92,0,Myntra,DressBerry,DressBerry Top,Women Western Wear,39808527,Tops,Women,L,As listed,1999,614,59015,6,Core,Active,2025-01-01,,WHITE IMPACT,https://www.myntra.com/tops/dressberry/dressberry-top/39808527/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
