Category,Style_ID,Brand,Product_Name,Article_Type,Gender,MRP_INR,Selling_Price_INR,Marketplace_Seller,Myntra_Product_URL,Price_Captured_On,Catalogue_Data_Provenance,Commercial_Data_Provenance
Men Western Wear,3314131,Roadster,Roadster Men Black Solid Round Neck T-shirt,T-shirts,Men,299,239,GARG ACRYLICS LTD.,https://www.myntra.com/tshirts/roadster/roadster-men-black-solid-round-neck-t-shirt/3314131/buy,2026-08-01,Public Myntra product listing snapshot,"Demand, FC, buying cost, MOQ, lead time, tax, inventory and PO relationships are synthetic demo assumptions"
Men Western Wear,7139482,Roadster,Roadster Men Black Slim Fit Mid-Rise Clean Look Stretchable Jeans,Jeans,Men,1699,729,AR FASHION STUDIO,https://www.myntra.com/jeans/roadster/roadster-men-black-slim-fit-mid-rise-clean-look-stretchable-jeans/7139482/buy,2026-08-01,Public Myntra product listing snapshot,"Demand, FC, buying cost, MOQ, lead time, tax, inventory and PO relationships are synthetic demo assumptions"
Men Western Wear,21422548,Roadster,Roadster Men T-shirt,T-shirts,Men,399,191,Truenet Commerce,https://www.myntra.com/tshirts/roadster/roadster-men-t-shirt/21422548/buy,2026-08-01,Public Myntra product listing snapshot,"Demand, FC, buying cost, MOQ, lead time, tax, inventory and PO relationships are synthetic demo assumptions"
Women Western Wear,20721342,DressBerry,DressBerry Pink Floral Midi Dress,Dresses,Women,3099,1116,M/S IBA CRAFTS PRIVATE LIMITED,https://www.myntra.com/dresses/dressberry/dressberry-pink-floral-midi-dress/20721342/buy,2026-08-01,Public Myntra product listing snapshot,"Demand, FC, buying cost, MOQ, lead time, tax, inventory and PO relationships are synthetic demo assumptions"
Women Western Wear,32016912,DressBerry,DressBerry Square Neck Top,Tops,Women,699,286,Vision Star,https://www.myntra.com/tops/dressberry/dressberry-square-neck-top/32016912/buy,2026-08-01,Public Myntra product listing snapshot,"Demand, FC, buying cost, MOQ, lead time, tax, inventory and PO relationships are synthetic demo assumptions"
Women Western Wear,39808527,DressBerry,DressBerry Top,Tops,Women,1999,614,WHITE IMPACT,https://www.myntra.com/tops/dressberry/dressberry-top/39808527/buy,2026-08-01,Public Myntra product listing snapshot,"Demand, FC, buying cost, MOQ, lead time, tax, inventory and PO relationships are synthetic demo assumptions"
Women Ethnic Wear,38471815,Anouk,Anouk Women Kurta,Kurtas,Women,1999,566,Astitva Creations Private Limited,https://www.myntra.com/kurtas/anouk/anouk-women-kurta/38471815/buy,2026-08-01,Public Myntra product listing snapshot,"Demand, FC, buying cost, MOQ, lead time, tax, inventory and PO relationships are synthetic demo assumptions"
Women Ethnic Wear,34530975,Anouk,Anouk Women Ethnic Motifs Embroidered A-Line Kurta,Kurtas,Women,1799,559,Astitva Creations Private Limited,https://www.myntra.com/kurtas/anouk/anouk-women-ethnic-motifs-embroidered-a-line-kurta/34530975/buy,2026-08-01,Public Myntra product listing snapshot,"Demand, FC, buying cost, MOQ, lead time, tax, inventory and PO relationships are synthetic demo assumptions"
Women Ethnic Wear,30534878,Anouk,Anouk Saree,Sarees,Women,4799,1014,KEEV LIFESTYLES PRIVATE LIMITED,https://www.myntra.com/sarees/anouk/anouk-saree/30534878/buy,2026-08-01,Public Myntra product listing snapshot,"Demand, FC, buying cost, MOQ, lead time, tax, inventory and PO relationships are synthetic demo assumptions"
Sports Wear,13346136,HRX by Hrithik Roshan,HRX Women Skinny Fit Seamless Rapid-Dry Antimicrobial Yoga Tights,Tights,Women,1699,496,SANGAM (INDIA) LIMITED,https://www.myntra.com/tights/hrxbyhrithikroshan/hrx-by-hrithik-roshan-women-skinny-fit-seamless-rapid-dry-antimicrobial-yoga-tights/13346136/buy,2026-08-01,Public Myntra product listing snapshot,"Demand, FC, buying cost, MOQ, lead time, tax, inventory and PO relationships are synthetic demo assumptions"
Sports Wear,25587450,HRX by Hrithik Roshan,HRX Women Mid Rise Tights,Tights,Women,1499,494,GURKIRPA LIFESTYLE COMPANY,https://www.myntra.com/tights/hrxbyhrithikroshan/hrx-by-hrithik-roshan-women-mid-rise-tights/25587450/buy,2026-08-01,Public Myntra product listing snapshot,"Demand, FC, buying cost, MOQ, lead time, tax, inventory and PO relationships are synthetic demo assumptions"
Sports Wear,42042400,HRX by Hrithik Roshan,HRX Men Shorts,Shorts,Men,1798,728,ZEAL BIZFASHION VENTURES PRIVATE LIMITED,https://www.myntra.com/shorts/hrxbyhrithikroshan/hrx-by-hrithik-roshan-men-shorts/42042400/buy,2026-08-01,Public Myntra product listing snapshot,"Demand, FC, buying cost, MOQ, lead time, tax, inventory and PO relationships are synthetic demo assumptions"
Footwear,40200375,HRX by Hrithik Roshan,HRX Men Running Shoes,Sports Shoes,Men,3999,1299,Treespoon Private Limited,https://www.myntra.com/sports-shoes/hrxbyhrithikroshan/hrx-by-hrithik-roshan-men-running-shoes/40200375/buy,2026-08-01,Public Myntra product listing snapshot,"Demand, FC, buying cost, MOQ, lead time, tax, inventory and PO relationships are synthetic demo assumptions"
Footwear,36220389,HRX by Hrithik Roshan,HRX Men Running Shoes,Sports Shoes,Men,3499,1084,Supercom Net,https://www.myntra.com/sports-shoes/hrxbyhrithikroshan/hrx-by-hrithik-roshan-men-running-shoes/36220389/buy,2026-08-01,Public Myntra product listing snapshot,"Demand, FC, buying cost, MOQ, lead time, tax, inventory and PO relationships are synthetic demo assumptions"
Footwear,31026146,Roadster,Roadster Women PU Stylish Casual Lightweight Comfort Sneaker,Casual Shoes,Women,2499,704,SAPPHIRE WOLF FASHION PRIVATE LIMITED,https://www.myntra.com/casual-shoes/roadster/roadster-women-pu-stylish-casual-lightweight-comfort-sneaker/31026146/buy,2026-08-01,Public Myntra product listing snapshot,"Demand, FC, buying cost, MOQ, lead time, tax, inventory and PO relationships are synthetic demo assumptions"
Accessories,18774016,Roadster,Roadster X fwd Unisex Black Backpacks 30 L,Backpacks,Unisex,2499,649,KP Leather Associates,https://www.myntra.com/backpacks/roadster/-roadster-unisex-black-backpacks/18774016/buy,2026-08-01,Public Myntra product listing snapshot,"Demand, FC, buying cost, MOQ, lead time, tax, inventory and PO relationships are synthetic demo assumptions"
Accessories,33559982,DressBerry,DressBerry Women Black Embellished Floral Satin Handbag,Handbags,Women,2199,835,PARUL HANDICRAFTS (P)LTD,https://www.myntra.com/handbags/dressberry/dressberry-women-black-embellished-floral-satin-handbag-/33559982/buy,2026-08-01,Public Myntra product listing snapshot,"Demand, FC, buying cost, MOQ, lead time, tax, inventory and PO relationships are synthetic demo assumptions"
