Vendor,SKU,Warehouse,Supplier_SKU,MOQ,Pack_Size,Max_Order_Qty,Lead_Time_Days,Review_Period_Days,Safety_Stock,Service_Level,Unit_Price,Currency,Minimum_Order_Value,Freight_Free_Threshold,Payment_Terms,Incoterms,Contact_Email,Marketplace,Supplier_City,Supplier_State,GSTIN,Brand,Product_Name,Category,HSN_Code,Article_Type,Gender,Size,Colour,MRP_INR,Typical_Selling_Price_INR,GST_Rate,Return_Allowance_Pct,Lifecycle_Stage,Availability_Status,Launch_Date,End_Of_Life_Date,Marketplace_Seller,Myntra_Product_URL,Price_Captured_On,Catalogue_Data_Provenance,Commercial_Data_Provenance
GARG ACRYLICS LTD.,,,GARG-GENERAL,100,20,4000,14,7,,0.95,124,INR,60000,150000,Net 30,DDP,garg@supplier-demo.example,Myntra,Bengaluru,Karnataka,29DEMOS1001A1Z5,,,,,,,,,,,,,,,,,GARG ACRYLICS LTD.,,,Public seller name; no product attached,Synthetic demo planning assumption
AR FASHION STUDIO,,,ARF-GENERAL,100,20,4000,14,7,,0.95,379,INR,60000,150000,Net 30,DDP,arf@supplier-demo.example,Myntra,Bengaluru,Karnataka,29DEMOS1002A1Z5,,,,,,,,,,,,,,,,,AR FASHION STUDIO,,,Public seller name; no product attached,Synthetic demo planning assumption
Truenet Commerce,,,TRUENET-GENERAL,100,20,4000,14,7,,0.95,99,INR,60000,150000,Net 30,DDP,truenet@supplier-demo.example,Myntra,Bengaluru,Karnataka,,,,,,,,,,,,,,,,,,Truenet Commerce,,,Public seller name; no product attached,Synthetic demo planning assumption
M/S IBA CRAFTS PRIVATE LIMITED,,,IBA-GENERAL,100,20,4000,14,7,,0.95,580,INR,60000,150000,Net 30,DDP,iba@supplier-demo.example,Myntra,Bengaluru,Karnataka,29DEMOS1004A1Z5,,,,,,,,,,,,,,,,,M/S IBA CRAFTS PRIVATE LIMITED,,,Public seller name; no product attached,Synthetic demo planning assumption
Vision Star,,,VISION-GENERAL,100,20,4000,14,7,,0.95,149,INR,60000,150000,Net 30,DDP,vision@supplier-demo.example,Myntra,Bengaluru,Karnataka,29DEMOS1005A1Z5,,,,,,,,,,,,,,,,,Vision Star,,,Public seller name; no product attached,Synthetic demo planning assumption
WHITE IMPACT,,,WHITE-GENERAL,100,20,4000,14,7,,0.95,319,INR,60000,150000,Net 30,DDP,white@supplier-demo.example,Myntra,Bengaluru,Karnataka,,,,,,,,,,,,,,,,,,WHITE IMPACT,,,Public seller name; no product attached,Synthetic demo planning assumption
Astitva Creations Private Limited,,,ASTITVA-GENERAL,80,10,3000,18,10,,0.95,294,INR,80000,175000,Net 45,DDP,astitva@supplier-demo.example,Myntra,Jaipur,Rajasthan,08DEMOS1007A1Z5,,,,,,,,,,,,,,,,,Astitva Creations Private Limited,,,Public seller name; no product attached,Synthetic demo planning assumption
KEEV LIFESTYLES PRIVATE LIMITED,,,KEEV-GENERAL,80,10,3000,18,10,,0.95,527,INR,80000,175000,Net 45,DDP,keev@supplier-demo.example,Myntra,Jaipur,Rajasthan,,,,,,,,,,,,,,,,,,KEEV LIFESTYLES PRIVATE LIMITED,,,Public seller name; no product attached,Synthetic demo planning assumption
SANGAM (INDIA) LIMITED,,,SANGAM-GENERAL,72,12,3600,16,7,,0.95,258,INR,90000,180000,Net 30,DDP,sangam@supplier-demo.example,Myntra,Gurugram,Haryana,06DEMOS1009A1Z5,,,,,,,,,,,,,,,,,SANGAM (INDIA) LIMITED,,,Public seller name; no product attached,Synthetic demo planning assumption
GURKIRPA LIFESTYLE COMPANY,,,GURKIRPA-GENERAL,72,12,3600,16,7,,0.95,257,INR,90000,180000,Net 30,DDP,gurkirpa@supplier-demo.example,Myntra,Gurugram,Haryana,06DEMOS1010A1Z5,,,,,,,,,,,,,,,,,GURKIRPA LIFESTYLE COMPANY,,,Public seller name; no product attached,Synthetic demo planning assumption
