SKU,Vendor,Warehouse,Open_PO_Qty,Expected_Date,PO_Number,Status,Currency,Unit_Cost_INR,PO_Value_INR,Marketplace,Brand,Product_Name,Category,Size,Colour,Style_ID,Marketplace_Seller,Myntra_Product_URL,Price_Captured_On,Catalogue_Data_Provenance,Commercial_Data_Provenance
MYN-3314131-M,GARG ACRYLICS LTD.,BLR_FC,820,2026-08-07,MYN-PO-2026-1001,in_transit,INR,124,101680,Myntra,Roadster,Roadster Men Black Solid Round Neck T-shirt,Men Western Wear,M,Black,3314131,GARG ACRYLICS LTD.,https://www.myntra.com/tshirts/roadster/roadster-men-black-solid-round-neck-t-shirt/3314131/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
MYN-3314131-M,GARG ACRYLICS LTD.,BLR_FC,660,2026-08-26,MYN-PO-2026-1002,confirmed,INR,124,81840,Myntra,Roadster,Roadster Men Black Solid Round Neck T-shirt,Men Western Wear,M,Black,3314131,GARG ACRYLICS LTD.,https://www.myntra.com/tshirts/roadster/roadster-men-black-solid-round-neck-t-shirt/3314131/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
MYN-3314131-M,GARG ACRYLICS LTD.,DEL_FC,660,2026-08-13,MYN-PO-2026-1003,supplier_acknowledged,INR,124,81840,Myntra,Roadster,Roadster Men Black Solid Round Neck T-shirt,Men Western Wear,M,Black,3314131,GARG ACRYLICS LTD.,https://www.myntra.com/tshirts/roadster/roadster-men-black-solid-round-neck-t-shirt/3314131/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
MYN-7139482-32,AR FASHION STUDIO,MUM_FC,380,2026-08-10,MYN-PO-2026-1004,in_transit,INR,379,144020,Myntra,Roadster,Roadster Men Black Slim Fit Mid-Rise Clean Look Stretchable Jeans,Men Western Wear,32,Black,7139482,AR FASHION STUDIO,https://www.myntra.com/jeans/roadster/roadster-men-black-slim-fit-mid-rise-clean-look-stretchable-jeans/7139482/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
MYN-20721342-M,M/S IBA CRAFTS PRIVATE LIMITED,MUM_FC,320,2026-08-09,MYN-PO-2026-1005,in_transit,INR,580,185600,Myntra,DressBerry,DressBerry Pink Floral Midi Dress,Women Western Wear,M,Pink,20721342,M/S IBA CRAFTS PRIVATE LIMITED,https://www.myntra.com/dresses/dressberry/dressberry-pink-floral-midi-dress/20721342/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
MYN-32016912-S,Vision Star,KOL_FC,600,2026-08-12,MYN-PO-2026-1006,supplier_acknowledged,INR,149,89400,Myntra,DressBerry,DressBerry Square Neck Top,Women Western Wear,S,As listed,32016912,Vision Star,https://www.myntra.com/tops/dressberry/dressberry-square-neck-top/32016912/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
MYN-39808527-L,WHITE IMPACT,BLR_FC,560,2026-08-06,MYN-PO-2026-1007,in_transit,INR,319,178640,Myntra,DressBerry,DressBerry Top,Women Western Wear,L,As listed,39808527,WHITE IMPACT,https://www.myntra.com/tops/dressberry/dressberry-top/39808527/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
MYN-38471815-M,Astitva Creations Private Limited,DEL_FC,550,2026-08-18,MYN-PO-2026-1008,confirmed,INR,294,161700,Myntra,Anouk,Anouk Women Kurta,Women Ethnic Wear,M,As listed,38471815,Astitva Creations Private Limited,https://www.myntra.com/kurtas/anouk/anouk-women-kurta/38471815/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
MYN-34530975-L,Astitva Creations Private Limited,MUM_FC,370,2026-08-21,MYN-PO-2026-1009,confirmed,INR,291,107670,Myntra,Anouk,Anouk Women Ethnic Motifs Embroidered A-Line Kurta,Women Ethnic Wear,L,As listed,34530975,Astitva Creations Private Limited,https://www.myntra.com/kurtas/anouk/anouk-women-ethnic-motifs-embroidered-a-line-kurta/34530975/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
MYN-13346136-M,SANGAM (INDIA) LIMITED,BLR_FC,348,2026-08-09,MYN-PO-2026-1010,in_transit,INR,258,89784,Myntra,HRX by Hrithik Roshan,HRX Women Skinny Fit Seamless Rapid-Dry Antimicrobial Yoga Tights,Sports Wear,M,As listed,13346136,SANGAM (INDIA) LIMITED,https://www.myntra.com/tights/hrxbyhrithikroshan/hrx-by-hrithik-roshan-women-skinny-fit-seamless-rapid-dry-antimicrobial-yoga-tights/13346136/buy,2026-08-01,Public Myntra product listing snapshot,Synthetic demo planning assumption
